-49.677538,-49.777512,-49.875915,-49.971916,-50.064711,-50.153520,-50.237593,-50.316215,-50.388710,-50.454439,-50.512809,-50.563271,-50.605325,-50.638520,-50.662457,-50.676792,-50.681233,-50.675544,-50.659544,-50.633108
-49.812970,-49.920551,-50.026221,-50.129128,-50.228446,-50.323375,-50.413149,-50.497038,-50.574347,-50.644429,-50.706677,-50.760535,-50.805495,-50.841103,-50.866956,-50.882710,-50.888074,-50.882817,-50.866763,-50.839796
-49.957557,-50.072686,-50.185564,-50.295317,-50.401097,-50.502088,-50.597503,-50.686597,-50.768662,-50.843037,-50.909105,-50.966300,-51.014109,-51.052073,-51.079786,-51.096903,-51.103136,-51.098257,-51.082096,-51.054546
-50.111316,-50.233933,-50.353958,-50.470497,-50.582681,-50.689672,-50.790670,-50.884912,-50.971675,-51.050287,-51.120119,-51.180599,-51.231205,-51.271473,-51.300997,-51.319430,-51.326485,-51.321938,-51.305626,-51.277448
-50.274239,-50.404283,-50.531395,-50.654658,-50.773185,-50.886120,-50.992643,-51.091975,-51.183383,-51.266178,-51.339725,-51.403439,-51.456795,-51.499323,-51.530614,-51.550321,-51.558159,-51.553907,-51.537409,-51.508570
-50.446295,-50.583703,-50.717839,-50.847766,-50.972576,-51.091395,-51.203386,-51.307755,-51.403754,-51.490684,-51.567896,-51.634801,-51.690864,-51.735612,-51.768633,-51.789580,-51.798170,-51.794184,-51.777472,-51.747948
-50.627429,-50.772134,-50.913230,-51.049758,-51.180791,-51.305436,-51.422840,-51.532193,-51.632733,-51.723749,-51.804584,-51.874638,-51.933371,-51.980305,-52.015026,-52.037185,-52.046502,-52.042761,-52.025817,-51.995592
-50.817560,-50.969495,-51.117484,-51.260549,-51.397744,-51.528156,-51.650917,-51.765202,-51.870235,-51.965293,-52.049710,-52.122876,-52.184246,-52.233337,-52.269732,-52.293083,-52.303109,-52.299600,-52.282414,-52.251482
-51.016581,-51.175674,-51.330489,-51.480026,-51.623320,-51.759441,-51.887505,-52.006670,-52.116150,-52.215208,-52.303168,-52.379413,-52.443391,-52.494615,-52.532665,-52.557193,-52.567918,-52.564634,-52.547206,-52.515569
-51.224361,-51.390540,-51.552109,-51.708051,-51.857381,-51.999152,-52.132463,-52.256459,-52.370339,-52.473357,-52.564825,-52.644119,-52.710681,-52.764018,-52.803710,-52.829405,-52.840826,-52.837770,-52.820104,-52.787773
-51.440745,-51.613931,-51.782183,-51.944460,-52.099761,-52.247122,-52.385625,-52.514403,-52.632639,-52.739577,-52.834521,-52.916837,-52.985961,-53.041397,-53.082721,-53.109581,-53.121701,-53.118880,-53.100991,-53.067986
-51.665550,-51.845664,-52.020521,-52.189063,-52.350269,-52.503158,-52.646799,-52.780308,-52.902857,-53.013679,-53.112067,-53.197382,-53.269051,-53.326575,-53.369527,-53.397554,-53.410382,-53.407811,-53.389721,-53.356068
-51.898571,-52.085530,-52.266914,-52.441646,-52.608688,-52.767044,-52.915765,-53.053955,-53.180775,-53.295445,-53.397249,-53.485540,-53.559740,-53.619345,-53.663925,-53.693127,-53.706677,-53.704378,-53.686115,-53.651849
