49.026400,-0.299136,5.895096,9.739793,7.015824,11.985047,9.017910,5.456959,6.235458,3.064180,2.017031,3.535904,2.799656,2.945757,3.199284,2.981919,3.076624,2.730678,1.927696,2.528690,1.887774,1.793513
50.026400,-0.299136,5.588329,9.784087,7.245713,11.660712,9.211519,5.243063,6.347434,3.126690,2.044162,3.583453,2.596498,3.007730,3.252014,3.050973,3.062117,2.758745,1.983400,2.582599,1.923990,1.840899
20.026400,0.700864,6.311592,9.884709,7.738330,12.618145,9.475126,5.637348,6.504146,3.448979,2.114032,3.728202,2.966913,3.296231,3.429814,3.309410,3.299759,2.835387,2.250633,2.755063,2.065165,2.031197
22.026400,0.700864,6.300863,9.869811,7.740166,12.610164,9.514876,5.648681,6.499225,3.449720,2.120600,3.742501,2.962601,3.303711,3.444327,3.318491,3.306766,2.837387,2.240981,2.760676,2.068607,2.027932
25.026400,0.700864,6.327935,9.873341,7.798833,12.649729,9.516653,5.675439,6.493025,3.479282,2.124415,3.759388,2.972145,3.331536,3.459386,3.340471,3.341652,2.837259,2.255073,2.766845,2.080286,2.038953
27.026400,0.700864,6.315747,9.868498,7.746751,12.633244,9.499440,5.666818,6.484145,3.453295,2.121473,3.748089,2.967391,3.307493,3.446432,3.319152,3.323024,2.835901,2.234814,2.755036,2.069503,2.023792
30.026400,0.700864,6.311379,9.859859,7.752772,12.629098,9.488602,5.647342,6.464440,3.459132,2.119185,3.743567,2.964609,3.311001,3.445521,3.319085,3.303126,2.831482,2.232188,2.752619,2.070147,2.022512
33.026400,0.700864,6.287318,9.847034,7.714017,12.594177,9.462844,5.630095,6.440695,3.435111,2.112817,3.730636,2.955391,3.291389,3.432721,3.305729,3.291567,2.823820,2.225072,2.744684,2.059680,2.016737
35.026400,0.700864,6.276316,9.835029,7.676107,12.577981,9.418804,5.610368,6.421320,3.420751,2.103115,3.715022,2.951346,3.276184,3.416492,3.288358,3.275862,2.812699,2.215419,2.731815,2.050565,2.006394
38.026400,0.700864,6.251814,9.824693,7.531216,12.537695,9.341431,5.577363,6.388235,3.344434,2.071893,3.666529,2.943138,3.192519,3.342923,3.189979,3.229266,2.785266,2.126060,2.656595,2.008888,1.935756
40.026400,0.700864,6.236235,9.832767,7.512875,12.518147,9.352941,5.586524,6.387245,3.238648,2.064760,3.657662,2.939513,3.103748,3.304984,3.127133,3.231038,2.781683,2.072589,2.628174,1.968115,1.898754
41.026400,0.700864,6.265644,9.840127,7.597321,12.566023,9.381358,5.603621,6.395891,3.364053,2.075837,3.684220,2.948516,3.206078,3.351005,3.195967,3.250335,2.789770,2.137300,2.660143,2.016072,1.942224
43.026400,0.700864,6.275850,9.850465,7.669401,12.584396,9.434970,5.631648,6.413836,3.404636,2.101377,3.720014,2.952423,3.262159,3.413550,3.280341,3.278348,2.811315,2.242105,2.724650,2.042551,2.016224
48.026400,0.700864,6.180168,9.727483,7.225792,12.440033,9.107302,5.477602,6.265140,3.211423,2.039098,3.587719,2.921160,3.058400,3.261539,3.056584,3.118261,2.748284,1.982644,2.573389,1.948686,1.836830
49.026400,0.700864,6.094936,9.720307,7.101691,12.315373,9.032699,5.442444,6.235095,3.148251,2.026387,3.554013,2.889408,3.012541,3.232924,3.030780,3.079362,2.735325,1.968297,2.554773,1.924370,1.824790
18.026400,1.700864,6.149778,9.823635,7.215149,12.387818,9.200211,5.537142,6.355742,3.181629,2.062460,3.613482,2.911809,3.050421,3.286501,3.076167,3.140912,2.786182,1.998699,2.600901,1.947713,1.853422
19.026400,1.700864,6.099488,9.786075,7.123063,12.327668,9.081248,5.480580,6.277265,3.159625,2.039325,3.575365,2.889719,3.021343,3.247554,3.033002,3.089213,2.757615,1.962111,2.559450,1.931464,1.821169
21.026400,1.700864,6.127740,9.759274,7.158157,12.369696,9.089649,5.477996,6.259330,3.175296,2.040495,3.586868,2.901663,3.036784,3.261103,3.046743,3.099573,2.752616,1.966139,2.568754,1.941247,1.827592
22.026400,1.700864,6.130839,9.759191,7.153575,12.373761,9.088364,5.479370,6.262251,3.174365,2.040752,3.585625,2.903026,3.035602,3.258885,3.043480,3.095229,2.754062,1.963407,2.564664,1.940525,1.824184
23.026400,1.700864,6.117572,9.761103,7.155050,12.355408,9.083977,5.480943,6.260950,3.172530,2.040406,3.586723,2.897551,3.035072,3.259999,3.044905,3.096634,2.753709,1.964447,2.564511,1.940370,1.825417
24.026400,1.700864,6.115711,9.762237,7.170808,12.356125,9.084094,5.485119,6.256914,3.184694,2.040699,3.590506,2.895889,3.044199,3.263651,3.049574,3.101986,2.752617,1.966219,2.566647,1.944967,1.826985
26.026400,1.700864,6.103563,9.760539,7.164263,12.338287,9.082931,5.488516,6.250470,3.177393,2.040515,3.590706,2.890376,3.039389,3.262699,3.048088,3.105404,2.751314,1.965500,2.565424,1.942634,1.826388
27.026400,1.700864,6.125217,9.758838,7.158926,12.367668,9.077397,5.483838,6.249067,3.179016,2.039452,3.587175,2.899966,3.039076,3.259769,3.045113,3.099720,2.750776,1.963014,2.563094,1.942239,1.824116
29.026400,1.700864,6.131577,9.755441,7.143223,12.373138,9.070273,5.475105,6.245968,3.167239,2.038031,3.582527,2.903226,3.030244,3.255901,3.040305,3.091853,2.749058,1.960192,2.560695,1.937707,1.821868
30.026400,1.700864,6.121699,9.753674,7.153100,12.361874,9.068758,5.473843,6.243606,3.177203,2.037713,3.583363,2.898452,3.037117,3.257170,3.042639,3.092202,2.748109,1.961060,2.560629,1.941044,1.822392
