11.6351,2.04919,-60,-34,-40,-56,-69,-84,-100,-100,-100,-100,-57,-40,-41,-54,-79,-94,-100,-100,-100,-100
11.6351,2.04919,-60,-34,-42,-56,-70,-84,-100,-100,-100,-100,-57,-40,-44,-55,-79,-94,-100,-100,-100,-100
11.6351,2.04919,-60,-34,-41,-56,-69,-84,-100,-100,-100,-100,-57,-40,-40,-55,-82,-94,-100,-100,-100,-100
11.6351,2.04919,-60,-34,-45,-56,-69,-84,-100,-100,-100,-100,-57,-40,-42,-55,-80,-100,-100,-100,-100,-100
11.6351,2.04919,-60,-34,-43,-56,-69,-81,-100,-100,-100,-100,-57,-40,-44,-56,-81,-100,-100,-100,-100,-100
11.6351,2.04919,-58,-34,-43,-62,-69,-81,-100,-100,-100,-100,-57,-41,-41,-55,-75,-94,-100,-100,-100,-100
11.6351,2.04919,-58,-32,-41,-62,-71,-81,-100,-100,-100,-100,-57,-41,-43,-55,-76,-90,-100,-100,-100,-100
11.6351,2.04919,-58,-32,-41,-62,-72,-100,-100,-100,-100,-100,-57,-40,-42,-55,-80,-90,-100,-100,-100,-100
11.6351,2.04919,-58,-32,-42,-62,-68,-100,-100,-100,-100,-100,-56,-41,-42,-54,-80,-90,-100,-100,-100,-100
11.6351,2.04919,-62,-32,-42,-55,-70,-74,-100,-100,-100,-100,-56,-41,-39,-53,-81,-90,-100,-100,-100,-100
11.6351,2.04919,-60,-33,-43,-55,-71,-74,-100,-100,-100,-100,-57,-41,-43,-54,-81,-90,-100,-100,-100,-100
11.6351,2.04919,-59,-33,-42,-55,-70,-83,-100,-100,-100,-100,-56,-40,-43,-56,-81,-100,-100,-100,-100,-100
11.6351,2.04919,-62,-33,-42,-55,-69,-83,-100,-100,-100,-100,-56,-40,-39,-54,-80,-100,-100,-100,-100,-100
11.6351,2.04919,-60,-33,-42,-55,-69,-83,-100,-100,-100,-100,-56,-41,-39,-58,-80,-100,-100,-100,-100,-100
11.6341,2.04924,-60,-100,-42,-55,-68,-79,-100,-100,-100,-100,-56,-41,-40,-57,-78,-90,-100,-100,-100,-100
11.0421,2.01385,-59,-100,-44,-55,-68,-79,-100,-100,-100,-100,-55,-41,-40,-57,-83,-90,-100,-100,-100,-100
10.1283,2.00813,-54,-100,-43,-100,-74,-81,-100,-100,-100,-100,-58,-41,-42,-60,-87,-90,-100,-100,-100,-100
9.30704,2.02368,-50,-100,-47,-100,-70,-81,-100,-100,-100,-100,-56,-39,-48,-55,-83,-90,-100,-100,-100,-100
8.3527,2.04136,-48,-100,-46,-100,-65,-81,-100,-100,-100,-100,-56,-43,-46,-58,-82,-90,-100,-100,-100,-100
7.45305,2.03815,-49,-100,-44,-100,-71,-100,-100,-100,-100,-100,-56,-42,-46,-61,-88,-90,-100,-100,-100,-100
6.56804,2.03499,-42,-100,-48,-100,-73,-100,-100,-100,-100,-100,-55,-42,-50,-58,-84,-92,-100,-100,-100,-100
5.69716,2.03409,-50,-100,-48,-100,-71,-100,-100,-100,-100,-100,-54,-42,-48,-60,-80,-90,-100,-100,-100,-100
4.82322,1.91174,-46,-38,-50,-100,-71,-84,-100,-100,-100,-100,-46,-42,-45,-59,-86,-90,-100,-100,-100,-100
3.98882,1.7561,-42,-38,-45,-100,-70,-84,-100,-100,-100,-100,-46,-42,-45,-55,-82,-90,-100,-100,-100,-100
3.13014,1.58603,-38,-38,-43,-59,-75,-84,-100,-100,-100,-100,-46,-46,-46,-55,-86,-90,-100,-100,-100,-100
2.27079,1.374,-40,-41,-51,-59,-79,-84,-100,-100,-100,-100,-46,-42,-47,-64,-82,-91,-100,-100,-100,-100
1.39972,1.23616,-36,-41,-49,-59,-74,-100,-100,-100,-100,-100,-42,-41,-50,-59,-83,-91,-100,-100,-100,-100
0.716678,1.09014,-36,-41,-50,-59,-74,-100,-100,-100,-100,-100,-46,-45,-50,-54,-81,-91,-100,-100,-100,-100
0.628034,1.05796,-41,-41,-49,-100,-74,-100,-100,-100,-100,-100,-44,-47,-50,-57,-85,-91,-100,-100,-100,-100
0.639585,1.05218,-41,-40,-52,-100,-76,-100,-100,-100,-100,-100,-47,-51,-51,-57,-81,-100,-100,-100,-100,-100
0.639585,1.05218,-46,-40,-51,-100,-76,-100,-100,-100,-100,-100,-47,-51,-55,-62,-82,-100,-100,-100,-100,-100
0.643008,1.02897,-42,-40,-49,-100,-77,-100,-100,-100,-100,-100,-46,-51,-51,-69,-82,-100,-100,-100,-100,-100
0.618356,1.00744,-45,-40,-47,-64,-80,-100,-100,-100,-100,-100,-40,-44,-51,-65,-84,-100,-100,-100,-100,-100
0.607507,1.77277,-40,-46,-45,-64,-68,-76,-100,-100,-100,-100,-44,-49,-51,-65,-84,-100,-100,-100,-100,-100
0.639842,2.69431,-44,-46,-44,-64,-68,-76,-100,-100,-100,-100,-44,-49,-43,-53,-84,-93,-100,-100,-100,-100
0.63611,3.57346,-36,-46,-45,-64,-68,-76,-100,-100,-100,-100,-42,-52,-47,-59,-88,-93,-100,-100,-100,-100
0.636841,4.41371,-37,-46,-47,-50,-68,-76,-100,-100,-100,-100,-45,-48,-44,-53,-88,-93,-100,-100,-100,-100
0.630152,5.29737,-41,-43,-42,-50,-68,-79,-100,-100,-100,-100,-39,-52,-45,-57,-88,-93,-100,-100,-100,-100
0.635629,6.17954,-33,-43,-45,-50,-72,-79,-100,-100,-100,-100,-39,-48,-49,-66,-92,-100,-100,-100,-100,-100
0.640676,7.00841,-32,-43,-53,-72,-80,-79,-100,-100,-100,-100,-39,-49,-55,-76,-92,-100,-100,-100,-100,-100
0.635202,7.92325,-27,-43,-59,-72,-80,-79,-100,-100,-100,-100,-35,-58,-64,-79,-92,-100,-100,-100,-100,-100
